IQ,Major,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
101,Marketing,6.07,5.58,3,Yes,7,2,4,No
114,Computer Science,6.63,6.76,7,No,10,6,5,No
89,Pharmacy,5.75,5.99,9,No,7,5,4,No
95,Education,8.1,8.52,4,Yes,4,10,0,No
94,Finance,7.1,7.48,7,No,0,4,5,No
78,Education,8.07,8.41,7,No,8,10,2,Yes
104,Psychology,8.81,9.26,10,No,10,9,5,Yes
103,Finance,7.73,7.77,9,Yes,8,2,2,No
100,Psychology,8.14,7.65,3,No,7,8,0,No
96,Engineering,9.68,9.19,1,Yes,10,4,0,No
78,Business,6.5,6.54,8,Yes,2,9,0,No
93,Computer Science,6.8,6.74,4,No,5,4,4,No
94,Finance,8.59,8.54,2,No,6,2,5,No
87,Finance,8.06,7.96,5,No,3,6,5,No
97,Engineering,5.89,6.31,4,No,9,9,4,No
106,Pharmacy,6.88,6.74,1,Yes,6,7,1,No
128,Marketing,7.34,7.7,7,No,8,1,0,No
102,Engineering,7.1,7.5,4,No,5,9,4,No
103,Design,5.89,5.89,8,Yes,1,6,2,No
98,Marketing,9.62,9.57,9,No,5,9,5,Yes
71,Computer Science,8.81,9.07,8,Yes,2,2,5,No
99,Marketing,7.41,7.62,1,No,6,7,0,No
100,Pharmacy,8.4,8.23,8,Yes,2,8,2,Yes
136,Marketing,9.49,9.09,5,No,7,8,3,Yes
97,Computer Science,5.68,5.44,1,Yes,10,5,1,No
104,Pharmacy,6.25,5.88,9,Yes,10,7,3,No
99,Education,7.71,7.5,9,No,4,7,1,No
82,Finance,9,8.76,7,No,2,3,0,No
117,Finance,5.18,5.32,7,No,0,2,5,No
111,Psychology,9.92,10.37,1,No,4,5,1,No
111,Education,7.27,7.46,9,No,9,4,4,No
86,Education,6.8,7.23,1,Yes,9,8,2,No
121,Marketing,6.46,6.74,7,No,10,5,5,No
78,Finance,5.87,6.1,9,No,2,9,4,No
108,Computer Science,8.96,8.87,9,No,3,7,0,No
132,Restaurant,9.78,9.6,5,No,9,1,3,Yes
85,Restaurant,7.07,7.42,6,No,3,2,2,No
91,Pharmacy,9.76,10.17,2,No,2,8,0,No
101,Finance,9.12,9.07,2,No,5,10,4,Yes
92,Finance,7.41,6.92,10,No,5,8,4,No
76,Restaurant,8.37,8.66,9,No,0,2,1,No
101,Finance,7.17,6.96,1,No,3,7,1,No
84,Marketing,7.79,7.3,10,Yes,0,8,3,No
107,Design,5.29,5.59,5,Yes,6,4,1,No
86,Business,8.48,8.5,7,No,6,3,1,No
123,Education,5.26,5.45,10,Yes,5,10,1,No
88,Psychology,9.09,9.5,6,No,10,9,3,Yes
95,Pharmacy,9.12,9.16,6,No,1,2,0,No
112,Design,6.19,6.19,6,No,3,3,5,No
81,Restaurant,6.62,6.41,8,No,2,8,2,No
103,Education,7.41,7.22,7,Yes,10,2,0,No
119,Finance,7.98,8.28,5,No,7,5,5,Yes
75,Psychology,6.44,6.39,10,No,1,10,5,No
102,Finance,7.96,7.62,2,Yes,9,8,0,No
103,Computer Science,6.49,6.08,10,No,1,7,0,No
111,Computer Science,5.28,5.25,6,Yes,0,4,4,No
81,Psychology,5.01,4.97,10,No,8,10,2,No
80,Psychology,5.51,5.66,5,No,2,9,2,No
107,Restaurant,8.96,8.93,4,Yes,7,2,4,No
104,Psychology,9.81,9.45,10,No,6,7,5,No
103,Marketing,7.13,7.14,5,No,0,7,4,No
105,Finance,7.56,7.97,9,No,10,7,5,No
89,Design,5.73,5.39,2,Yes,5,7,1,No
103,Engineering,7.76,7.95,6,No,7,5,4,No
104,Psychology,5.72,5.81,9,No,5,1,3,No
89,Pharmacy,8.06,8.31,10,No,8,4,4,No
127,Computer Science,9.67,9.32,5,Yes,9,5,1,No
107,Marketing,5.98,6.42,6,No,2,10,4,No
82,Education,8.82,8.94,10,No,5,4,3,No
109,Engineering,5.12,5.47,4,Yes,9,7,4,No
85,Design,6.88,6.63,5,No,3,2,5,No
111,Engineering,5.55,5.79,8,No,9,2,0,No
117,Psychology,6.76,7.04,1,Yes,2,2,2,No
87,Restaurant,5.87,5.77,1,Yes,7,10,3,No
114,Computer Science,6.87,6.75,10,Yes,6,3,3,No
106,Computer Science,7.09,7.25,4,Yes,6,5,3,No
112,Education,6.5,6.09,10,Yes,4,10,5,Yes
128,Restaurant,8.28,8.52,3,Yes,0,9,0,Yes
96,Finance,9.59,9.13,5,Yes,5,3,0,No
88,Business,7,6.69,10,Yes,5,6,2,No
86,Marketing,5.96,6.12,8,Yes,2,6,1,No
87,Computer Science,6.35,5.95,1,No,4,6,2,No
98,Pharmacy,9.27,9.74,5,No,8,5,3,No
105,Computer Science,7.86,8.23,5,No,6,2,3,No
104,Engineering,7.28,7.41,2,Yes,7,1,3,No
112,Computer Science,5.75,6.07,5,Yes,8,5,2,No
100,Computer Science,7.25,7.64,8,Yes,5,8,1,No
121,Business,6.39,6.15,10,Yes,4,10,1,No
96,Business,9.72,10.07,7,No,9,5,2,No
140,Design,9.42,9.11,2,No,4,3,5,Yes
109,Finance,5.42,5.33,6,Yes,4,3,3,No
87,Pharmacy,7.58,7.64,10,No,3,2,2,No
83,Computer Science,6.13,6.34,1,No,1,7,2,No
107,Computer Science,7.05,6.58,10,No,6,2,4,No
96,Marketing,9.38,9.17,10,Yes,6,6,4,No
110,Business,7.64,7.75,3,Yes,7,8,0,No
107,Pharmacy,6.67,6.53,6,No,7,8,0,No
98,Education,6.04,6.32,9,Yes,10,2,2,No
87,Design,9,9.15,1,No,7,6,4,No
77,Finance,8.12,7.85,6,Yes,8,3,3,No
93,Restaurant,7.34,6.99,2,Yes,5,9,0,No
112,Finance,6.09,6.22,9,Yes,3,3,3,No
103,Engineering,6.67,6.62,2,Yes,1,1,3,No
81,Computer Science,9.8,9.47,3,No,4,9,0,No
102,Design,7.6,7.43,2,Yes,5,8,5,No
105,Engineering,7,6.8,4,Yes,6,2,2,No
86,Pharmacy,7.61,7.22,4,No,5,10,4,No
102,Restaurant,8.89,8.94,10,Yes,3,10,0,No
100,Business,6.7,6.96,1,Yes,3,3,1,No
82,Design,5.89,5.97,8,Yes,6,7,1,No
105,Design,7.92,8.25,5,Yes,0,6,3,No
108,Computer Science,8.33,7.96,8,No,2,8,1,No
116,Psychology,8.56,8.5,6,Yes,9,10,3,Yes
115,Design,9.41,9.52,2,No,1,5,5,Yes
79,Marketing,6.86,7.04,7,No,1,5,5,No
85,Restaurant,5.38,5.58,10,No,6,2,5,No
107,Restaurant,9.79,10.02,9,No,4,6,5,No
107,Marketing,7.18,7.33,7,Yes,2,5,5,No
107,Education,8.12,7.71,5,No,8,9,4,No
157,Marketing,8.33,8.53,4,No,8,3,0,No
108,Marketing,7.73,7.95,8,No,2,5,0,No
117,Restaurant,6.03,6.52,6,No,1,3,4,No
114,Finance,8.78,8.97,5,Yes,2,9,3,Yes
109,Restaurant,9.02,9.21,7,Yes,8,9,5,Yes
95,Psychology,7.76,7.77,3,Yes,7,10,2,No
111,Computer Science,7.44,7.81,9,No,2,7,1,No
88,Engineering,5.57,6.07,4,No,3,1,5,No
96,Finance,5.42,5.7,4,No,4,9,4,No
92,Business,6.7,6.81,8,No,3,9,1,No
101,Engineering,6.55,6.13,6,Yes,10,10,2,No
134,Computer Science,9.77,10,1,Yes,1,5,3,Yes
71,Psychology,8.92,9.13,2,No,10,2,5,No
110,Psychology,8.3,8.58,9,No,8,1,1,No
75,Business,7.59,7.21,6,No,1,2,3,No
92,Finance,5.84,5.99,7,Yes,4,4,5,No
116,Education,9.89,9.69,9,No,10,4,2,Yes
100,Marketing,6.88,7.14,3,Yes,8,1,3,No
83,Finance,5.53,5.27,5,Yes,7,8,2,No
89,Education,7.47,7.65,5,Yes,0,10,0,No
110,Psychology,9.37,9.16,10,No,2,8,1,No
89,Restaurant,9.44,8.95,7,Yes,9,8,1,No
103,Computer Science,5.05,5.18,2,Yes,8,5,2,No
100,Business,9.43,9.04,4,No,2,10,2,Yes
90,Computer Science,6.36,6.52,4,No,10,2,4,No
132,Pharmacy,5.19,5.62,8,Yes,3,4,2,No
109,Pharmacy,9.24,9.71,10,Yes,2,1,2,No
69,Finance,9.32,9.06,3,No,6,10,3,Yes
102,Psychology,7.98,8.29,2,No,8,1,3,No
90,Psychology,7.87,7.72,9,No,3,10,1,No
112,Marketing,9.07,9.47,4,No,8,3,3,Yes
88,Marketing,8.93,9.22,9,Yes,1,4,3,No
98,Marketing,9.45,9.02,6,No,1,3,1,No
107,Restaurant,7.76,7.67,1,No,8,3,5,No
112,Engineering,9.84,9.68,3,No,6,8,0,Yes
81,Design,9.98,10.27,7,No,4,4,4,No
94,Engineering,5.58,5.49,9,Yes,4,3,3,No
92,Computer Science,9.25,9.43,8,Yes,8,9,0,No
90,Engineering,7.5,7.6,5,Yes,10,1,4,No
126,Restaurant,6.94,7.42,8,Yes,3,8,1,No
106,Computer Science,8.07,8.51,2,No,10,5,3,No
81,Engineering,5.28,5.21,3,No,0,8,5,No
113,Restaurant,7.53,7.75,8,No,5,10,3,Yes
131,Design,9.35,9.68,9,Yes,2,3,2,Yes
115,Engineering,6.07,6.47,10,No,1,6,3,No
77,Restaurant,7.13,6.7,8,Yes,3,7,3,No
92,Marketing,9.7,9.5,4,Yes,8,8,0,No
119,Psychology,7.14,6.96,6,No,7,7,0,No
89,Marketing,6.79,6.72,5,Yes,6,7,3,No
106,Psychology,7.2,6.87,4,No,1,2,5,No
111,Business,7.6,7.6,9,Yes,0,3,4,No
86,Business,8.16,8.32,10,No,6,6,1,No
99,Business,9,9,3,No,9,3,5,No
51,Design,7.26,7.43,1,No,4,9,0,No
84,Marketing,9.09,8.66,7,No,10,9,5,Yes
96,Psychology,7.67,8.05,10,Yes,7,6,5,No
81,Restaurant,6.69,7.13,8,Yes,4,1,4,No
124,Computer Science,8.29,8.41,3,No,9,1,5,Yes
78,Restaurant,8.59,8.97,3,No,4,4,3,No
93,Computer Science,7.79,7.42,6,No,7,10,2,No
101,Pharmacy,5.28,5.58,2,No,8,8,0,No
121,Restaurant,5.85,5.47,6,No,1,3,5,No
78,Engineering,6.43,6.34,5,No,7,4,0,No
117,Engineering,6.41,6.23,7,No,6,6,2,No
100,Finance,8.37,8.46,9,No,7,9,3,Yes
85,Marketing,5.09,4.89,9,No,2,4,0,No
106,Computer Science,8.78,8.92,1,No,3,3,3,No
102,Computer Science,6.33,6.2,7,No,6,10,4,No
90,Marketing,6.55,6.91,3,No,4,10,0,No
101,Design,7.64,7.77,4,Yes,6,9,3,No
94,Finance,6.08,5.8,2,Yes,5,7,4,No
101,Design,9.42,9.26,1,No,3,9,5,Yes
109,Design,5.43,5.78,10,Yes,1,10,0,No
123,Design,7.22,7.11,3,Yes,5,6,1,No
81,Marketing,9.25,9.29,10,No,5,4,3,No
131,Design,8.08,8.23,9,No,5,5,4,Yes
70,Engineering,6.46,6.31,1,Yes,0,10,5,No
97,Business,7.1,6.89,3,No,5,2,1,No
108,Pharmacy,8.53,8.51,5,Yes,1,3,3,No
104,Computer Science,9.87,9.58,3,No,9,5,0,No
90,Computer Science,9.47,9.25,4,No,4,3,5,No
96,Pharmacy,6.71,6.27,4,No,6,3,3,No
92,Marketing,9.99,9.79,1,Yes,9,9,4,Yes
91,Restaurant,5.02,4.84,6,Yes,0,4,0,No
112,Marketing,5.14,5.6,7,Yes,4,4,0,No
105,Computer Science,9.12,9.21,7,Yes,8,1,5,No
89,Computer Science,6,6.29,6,No,2,7,0,No
113,Pharmacy,5.3,4.85,7,No,1,10,2,Yes
104,Design,6.19,5.8,3,Yes,9,9,4,No
112,Marketing,7.13,7.44,5,Yes,1,8,1,No
109,Psychology,8.65,8.77,7,Yes,2,2,0,No
87,Pharmacy,8.12,7.81,10,No,0,6,4,No
91,Engineering,6.19,6.09,5,Yes,1,10,2,No
111,Computer Science,7.52,7.56,10,Yes,5,10,2,Yes
109,Pharmacy,9.63,9.97,2,Yes,7,5,5,No
99,Marketing,9.08,8.64,6,No,3,8,0,No
101,Computer Science,6.62,6.72,7,Yes,1,1,4,No
119,Restaurant,9.91,10.13,2,No,4,9,2,Yes
91,Pharmacy,8.54,9.02,10,No,2,9,0,No
108,Finance,5.31,5.62,8,Yes,4,7,5,No
96,Computer Science,5.18,4.96,5,Yes,2,8,3,No
96,Marketing,5.84,6.05,8,No,10,9,3,No
116,Business,8.64,8.9,3,No,3,5,3,Yes
112,Psychology,5.92,6.15,2,Yes,4,2,1,No
112,Education,7.56,7.88,7,Yes,6,1,4,No
119,Design,5.47,5.87,5,Yes,1,5,5,No
100,Education,9.6,9.2,5,No,5,8,3,Yes
110,Marketing,6.72,6.32,8,No,5,10,2,No
95,Engineering,9.54,9.84,9,No,5,4,1,No
104,Engineering,9.72,9.47,8,Yes,6,4,3,No
98,Business,5.03,4.59,10,No,10,4,0,No
101,Design,7.32,7.22,2,No,2,8,2,No
108,Finance,5.12,5.44,10,Yes,4,7,1,No
87,Business,9.54,9.17,7,No,8,1,1,No
131,Education,7.59,7.76,5,No,8,10,2,Yes
84,Business,5.37,4.87,7,Yes,6,6,3,No
81,Education,5.55,5.16,3,Yes,8,4,5,No
117,Computer Science,6.92,6.77,4,Yes,2,2,5,No
111,Engineering,9.7,9.28,7,No,6,3,0,No
109,Computer Science,8.46,8.81,2,No,0,4,0,No
109,Psychology,9.34,9.7,2,No,6,10,5,Yes
99,Design,6.83,7.09,1,Yes,2,7,5,No
86,Finance,5.22,4.96,1,No,2,1,0,No
101,Education,9.87,9.89,1,Yes,6,1,1,No
89,Finance,5.09,4.77,6,Yes,7,3,3,No
114,Education,9.74,9.52,5,Yes,3,2,5,Yes
97,Marketing,6.84,6.86,10,Yes,0,3,5,No
87,Business,5.05,5.29,8,No,4,3,2,No
95,Psychology,8.45,8.04,5,Yes,9,1,4,No
106,Engineering,9.9,9.7,1,Yes,3,6,0,No
91,Education,9.83,10.26,8,No,8,8,2,Yes
87,Finance,5.8,5.73,6,No,2,5,5,No
103,Psychology,5.91,6.35,8,Yes,3,1,5,No
103,Restaurant,7.83,8.32,2,Yes,9,10,2,Yes
92,Restaurant,8.19,8.22,10,Yes,2,7,5,No
92,Computer Science,8.7,8.49,8,No,2,10,0,No
103,Engineering,5.91,6.2,6,No,6,9,4,No
78,Marketing,9.8,9.46,1,No,4,7,1,No
78,Finance,8.19,7.94,1,Yes,4,9,1,No
89,Business,9.24,9.52,10,No,3,10,3,Yes
96,Business,7.7,7.63,5,No,9,9,5,No
104,Finance,7.07,6.77,7,Yes,7,2,1,No
122,Design,9.89,10.04,4,No,0,8,2,Yes
112,Marketing,7.91,8.14,10,No,10,7,1,No
97,Psychology,9.33,8.96,5,No,8,7,3,No
99,Education,9.77,9.55,10,No,10,2,2,No
84,Design,8.38,8.1,3,No,8,1,2,No
99,Education,7.74,7.62,2,No,10,4,4,No
95,Education,5.02,5.28,2,No,4,7,5,No
104,Design,5.2,5.41,5,No,0,6,0,No
87,Computer Science,6,6.16,4,Yes,1,10,0,No
107,Restaurant,5.93,5.44,2,No,1,2,0,No
122,Education,6.27,5.91,5,Yes,5,7,3,No
98,Design,6.52,6.24,10,Yes,9,10,1,No
106,Design,6.8,6.57,9,No,8,9,0,No
110,Pharmacy,7.1,6.75,8,No,2,2,1,No
93,Computer Science,5.49,5.4,9,No,7,10,0,No
103,Engineering,5.21,4.79,9,No,1,5,4,No
100,Pharmacy,8.37,8.62,8,No,4,2,1,No
101,Pharmacy,7.69,7.98,9,No,3,1,3,No
88,Finance,7.22,7.29,4,No,4,7,5,No
100,Restaurant,8.17,7.76,8,Yes,3,2,5,No
107,Design,9.14,9.53,2,No,0,6,3,No
121,Restaurant,7.14,7.61,9,No,0,7,1,No
114,Marketing,8.21,7.91,9,No,5,1,5,No
132,Finance,9.77,9.97,3,No,7,9,3,Yes
88,Engineering,9.2,9.54,6,No,6,6,2,No
113,Restaurant,7.13,7.17,7,Yes,3,2,3,No
102,Business,8.22,8.04,3,Yes,4,1,4,No
132,Education,5.89,5.87,5,No,7,1,4,No
87,Marketing,7.8,7.81,1,No,5,2,1,No
87,Computer Science,9.91,9.81,3,Yes,7,9,3,Yes
91,Engineering,7.59,8.02,8,No,5,2,1,No
68,Marketing,9.64,9.88,3,No,7,1,0,No
92,Education,7.04,6.78,8,Yes,3,4,2,No
88,Finance,9.99,10.08,9,No,9,9,1,No
102,Education,7.9,8.09,6,Yes,1,8,1,No
105,Pharmacy,5.21,4.85,7,No,2,7,1,No
128,Education,7.93,7.79,6,No,4,8,5,Yes
114,Pharmacy,6.37,6.78,8,No,3,2,1,No
91,Finance,5.16,5.23,7,No,4,5,5,No
86,Psychology,9.1,8.82,10,No,0,7,4,No
107,Pharmacy,6.38,6,1,No,0,1,2,No
80,Computer Science,8.98,9,3,Yes,1,6,0,No
127,Education,6.44,6.49,3,No,10,7,2,No
117,Education,5.97,5.8,3,No,1,8,1,No
92,Computer Science,9.87,10,4,Yes,7,5,4,No
74,Business,6.81,6.38,1,No,9,8,0,No
120,Design,8.01,7.66,2,Yes,3,10,5,Yes
98,Psychology,8.05,8.1,5,No,5,1,1,No
118,Engineering,7.8,7.36,6,Yes,1,4,5,No
76,Pharmacy,9.57,9.95,9,Yes,0,6,1,No
91,Computer Science,8.37,8.01,2,No,6,4,3,No
100,Finance,7.02,7.19,9,No,3,5,2,No
100,Pharmacy,9.31,9.2,7,No,3,2,2,No
93,Design,5.91,5.81,9,No,1,7,2,No
109,Finance,7.72,7.98,4,Yes,8,9,3,No
83,Marketing,9.75,9.75,7,Yes,1,7,4,No
97,Education,8.13,8.36,1,Yes,4,1,4,No
101,Marketing,9.08,9.09,8,No,5,2,4,No
107,Pharmacy,8.27,8.36,7,Yes,2,8,5,Yes
110,Design,9.2,9.46,7,No,10,1,0,No
83,Psychology,9.72,9.83,2,Yes,2,2,3,No
76,Pharmacy,6.36,6.48,10,Yes,5,5,3,No
119,Computer Science,5.85,6.14,9,Yes,4,6,4,No
104,Restaurant,7.42,7.87,8,No,4,1,4,No
88,Pharmacy,8.51,8.39,1,Yes,4,1,4,No
123,Education,6.14,6.22,1,Yes,8,2,3,No
101,Education,5.02,4.61,5,No,7,3,4,No
117,Pharmacy,6.71,6.57,2,Yes,3,9,2,Yes
101,Finance,9.84,9.75,1,No,5,3,4,No
130,Restaurant,8.47,8.81,10,No,4,8,2,Yes
126,Computer Science,7.01,7.02,8,Yes,10,6,1,No
96,Pharmacy,5.96,6.19,4,No,5,10,1,No
114,Finance,6.78,6.3,2,No,10,5,3,No
109,Education,5.85,5.81,5,No,7,9,0,No
120,Education,5.53,5.93,6,Yes,5,8,5,Yes
85,Design,9.53,9.25,8,Yes,5,3,1,No
110,Pharmacy,9.99,9.52,7,No,1,7,3,No
115,Restaurant,5.82,5.75,7,Yes,6,4,3,No
73,Business,5.27,5.47,1,No,2,8,2,No
82,Restaurant,6.65,6.6,3,No,6,7,2,No
69,Education,7.31,7.27,3,Yes,4,3,4,No
95,Education,6.02,6.19,7,No,3,7,5,No
110,Marketing,6.51,6.26,2,Yes,9,6,1,No
122,Education,6,6.25,10,Yes,0,6,2,No
101,Computer Science,8.87,8.52,7,No,7,10,0,No
124,Engineering,8.56,8.46,9,Yes,1,3,5,Yes
79,Pharmacy,8.17,8.33,1,No,9,4,3,No
74,Restaurant,6.94,7.27,2,No,7,4,5,No
99,Engineering,9.55,9.84,6,No,6,6,4,No
105,Finance,9.85,10.07,2,No,2,9,2,Yes
99,Business,5.87,5.73,2,Yes,10,5,2,No
68,Computer Science,6.12,5.74,5,No,6,8,2,No
98,Restaurant,7.63,7.35,7,No,0,5,5,No
80,Engineering,5.46,5.82,4,Yes,4,6,1,No
110,Business,7.18,7.54,6,Yes,1,6,5,No
105,Marketing,7.91,8.36,3,No,1,4,2,No
85,Computer Science,7.61,7.19,4,Yes,2,10,5,No
92,Computer Science,6.65,6.69,4,No,6,10,3,No
84,Marketing,7.71,7.86,4,No,1,5,2,No
99,Pharmacy,9.79,10,1,Yes,3,4,5,No
114,Marketing,6.03,6.17,4,No,3,2,0,No
85,Computer Science,8.27,8.54,4,Yes,0,2,2,No
107,Computer Science,5.22,5.08,6,Yes,6,8,4,No
92,Engineering,5.33,5.01,9,No,3,4,4,No
88,Education,7.76,7.46,10,Yes,0,9,0,No
98,Business,5.52,5.03,6,No,2,6,4,No
84,Marketing,5.11,4.96,6,No,7,5,1,No
91,Business,5.86,5.45,7,No,3,7,3,No
82,Marketing,7.82,7.64,7,Yes,0,6,3,No
129,Finance,8.52,8.65,1,No,6,4,1,No
100,Computer Science,6.01,6.4,8,No,7,10,4,No
89,Education,8.34,8.68,1,No,4,9,0,No
103,Engineering,5.91,5.66,9,Yes,8,6,0,No
98,Education,8.07,7.7,4,No,6,3,3,No
96,Education,7.06,6.75,9,No,3,4,5,No
109,Education,8.27,8.74,8,No,8,4,0,No
111,Business,9.98,10.03,9,Yes,5,8,1,Yes
92,Marketing,9.69,9.37,6,Yes,10,5,3,No
91,Psychology,5.02,5.36,9,Yes,7,8,2,No
95,Finance,9.43,9.33,4,Yes,1,8,1,No
65,Restaurant,5.33,5.73,3,Yes,4,6,1,No
77,Education,9.77,9.53,3,No,2,5,0,No
120,Pharmacy,6.41,6.3,8,No,4,2,5,No
124,Business,6.91,6.91,2,Yes,7,1,0,No
96,Engineering,5.46,5.85,6,No,5,7,0,No
108,Restaurant,5.56,5.93,9,Yes,0,10,2,No
104,Psychology,8.63,8.7,9,No,6,10,1,No
146,Pharmacy,9.72,9.44,8,Yes,9,7,4,Yes
116,Psychology,8.05,7.95,8,Yes,0,2,3,No
98,Restaurant,8.58,9.06,1,Yes,0,3,0,No
85,Education,8.81,8.92,7,No,3,8,0,No
75,Pharmacy,6.31,6.59,1,No,8,4,1,No
103,Psychology,5.23,5.18,9,No,7,5,2,No
88,Engineering,5.01,5.04,3,No,9,7,0,No
78,Marketing,6.75,6.68,1,No,2,8,2,No
90,Computer Science,6.21,6.41,8,No,5,1,2,No
83,Marketing,5.31,5.66,7,No,0,7,4,No
125,Restaurant,5.9,5.91,2,Yes,9,3,2,No
113,Business,5.62,5.6,7,Yes,0,5,4,No
99,Computer Science,9.57,9.41,5,No,5,1,3,No
122,Finance,5.7,5.38,7,No,4,3,2,No
101,Engineering,7.69,8.13,10,Yes,5,5,3,No
87,Finance,7.97,7.79,7,No,8,1,2,No
122,Pharmacy,7.72,8.02,2,Yes,4,2,4,Yes
108,Computer Science,5.5,5.72,2,No,1,3,4,No
84,Finance,6.59,6.88,7,Yes,0,8,3,No
