StudentID,School Year,Gpa_Score,Fitness_Score,English_Level,Major,Part_Time_Job
65,2,2.921977316279783,8.238425125174814,1.0,IT,Yes
66,1,2.4595161421906693,9.299111260788273,1.0,Marketing,Yes
67,2,2.7325123406751715,9.221171241151406,4.0,Marketing,No
68,1,2.8635298309389476,8.067421172393956,4.0,IT,No
69,2,2.14908350795488,7.835512522979392,3.0,Marketing,Yes
70,1,1.87598629525088,9.859289616236156,1.0,Business,No
71,1,2.8808592808577935,8.42256422412935,4.0,IT,No
72,1,3.5512386208923075,8.007545741957248,3.0,Business,No
73,2,3.0178329318344987,8.373003758911736,1.0,IT,Yes
74,1,3.7319805133207264,8.68177531497312,3.0,Business,No
75,1,2.7575721432231712,8.346053538808071,5.0,IT,No
76,1,2.310465400265587,9.759045867019442,1.0,Marketing,Yes
77,1,1.7833194000284598,9.664666728002555,1.0,Business,No
78,1,1.537639584874258,9.908128552934063,1.0,Business,No
79,1,3.2987894753080753,9.554670773069034,5.0,IT,No
80,1,1.5567458068584776,9.478906077007673,1.0,Business,No
81,2,1.92784200407625,8.209714996593489,3.0,Marketing,Yes
82,1,2.008440424221989,9.6563088382014,2.0,Business,No
83,1,2.7717139221680283,8.54160738395079,4.0,IT,No
84,1,3.3459407361596605,9.701888907901358,5.0,IT,No
85,1,3.0324256490764085,8.731038095771384,5.0,IT,No
86,1,2.8326043420856326,8.703214116059526,4.0,IT,No
87,2,2.46279592037589,8.162319511764624,2.0,Business,Yes
88,1,3.3907731125955,9.34069111698103,5.0,IT,No
89,1,2.629716804649016,8.335867762132796,5.0,IT,No
90,2,2.4701575616247173,8.305229942688031,2.0,Business,Yes
91,2,2.167284908386402,8.28197405864911,2.0,Business,Yes
92,1,3.4234260170633606,9.332244022212326,5.0,IT,No
93,1,3.3900573297434415,8.383987185713542,3.0,Business,No
94,1,2.429301970882046,9.523602321812458,1.0,Marketing,Yes
95,2,2.0166082653338075,7.799591008338975,3.0,Marketing,Yes
96,1,2.380839775730417,9.293491915358896,1.0,Marketing,Yes
97,1,1.5659164391344098,9.918865812163405,1.0,Business,No
98,2,2.4000522133659157,7.777108484837541,2.0,Marketing,Yes
99,1,1.6199802393404756,9.834268130078794,1.0,Business,No
100,1,3.0802070666326538,8.357668467362805,4.0,IT,No
101,2,2.7224750574509398,8.503428199988019,1.0,IT,Yes
102,1,3.521136105210698,9.835522126076478,5.0,IT,No
103,2,2.1531629377679495,7.147802997578906,3.0,Marketing,Yes
104,2,1.8179531117321166,7.63622867904398,3.0,Marketing,Yes
105,1,3.0449588002958623,8.648435543960304,4.0,IT,No
106,1,3.423358329906956,8.603203768420672,3.0,Business,No
107,2,2.5815597949704956,8.550778386986627,2.0,Business,Yes
108,1,2.8773146051761653,8.512393182324852,4.0,IT,No
109,1,3.2438217661364295,8.202644615805825,2.0,IT,No
110,2,2.2063175830295725,8.818498347647205,2.0,Business,Yes
111,1,3.385173595128899,9.282854515738075,5.0,IT,No
112,2,2.46334706424961,8.529102745030189,2.0,Business,Yes
113,1,3.3038128550495935,8.39004225053388,3.0,Business,No
114,2,2.1014100675633953,8.929649843503421,2.0,Business,Yes
115,1,3.371367667150835,9.7165176290107,4.0,IT,No
116,1,3.6260008064933644,8.274105975024595,4.0,Business,No
117,1,2.667193661553955,9.455018582200905,1.0,Marketing,Yes
118,2,1.9983876498427866,7.329029127691526,3.0,Marketing,Yes
119,2,1.8676756980263862,8.042157121156835,3.0,Marketing,Yes
120,1,1.7485306403843852,9.761433197180812,2.0,Business,No
121,1,2.4275783271614335,9.703039108306276,1.0,Marketing,Yes
122,1,2.486684570264825,9.363987675431371,1.0,Marketing,Yes
123,2,2.720196187201111,8.532010267139615,1.0,Business,Yes
124,2,2.134027323297118,7.679665412680069,2.0,Marketing,Yes
125,1,3.7483192438068382,9.212986273461064,5.0,IT,No
126,2,2.930561186690453,8.649435949279457,3.0,Marketing,No
127,2,3.012984872178383,8.34517488761752,3.0,Marketing,No
128,1,3.411067590130947,8.528651378898521,2.0,Business,No
129,2,1.9979993498823088,7.256279374336725,3.0,Marketing,Yes
130,2,2.060489123269909,8.308035631489805,3.0,Marketing,Yes
131,2,2.957901768698877,8.35896827517498,3.0,Marketing,No
132,2,2.009403612075338,8.1749721689188,3.0,Marketing,Yes
133,2,2.317612063895355,8.27298648910739,2.0,Business,Yes
134,1,3.4645194381662106,7.940258266867765,1.0,IT,No
135,2,3.0169668235437306,8.211888324918283,1.0,IT,Yes
136,1,2.325239006594033,9.818437039847845,1.0,Marketing,Yes
137,1,1.75134068286489,9.610925667021068,1.0,Business,No
138,1,3.5786913500945765,8.568420503024688,3.0,Business,No
139,1,3.7780550007109452,7.819012009974096,1.0,IT,No
140,2,3.0126245281511883,8.888239993884726,3.0,Marketing,No
141,1,2.5458949300348186,9.554026663504938,1.0,Marketing,Yes
142,2,2.331671225806169,7.667819003625073,3.0,Marketing,Yes
143,1,1.8516102197103035,9.279927217941186,1.0,Business,No
144,2,2.238934881432755,7.4745991685645,2.0,Marketing,Yes
145,1,3.5911757810502207,9.51271064228404,5.0,IT,No
146,1,3.6548769189241823,9.37783997865298,5.0,IT,No
147,1,1.6448396465271473,9.063535810037514,2.0,Business,No
148,1,1.8306424413001994,9.728235312697873,1.0,Business,No
149,2,3.072182659264219,8.495377589678354,3.0,Marketing,No
150,1,1.8700585759093333,9.309918743682672,1.0,Business,No
151,2,2.5705526127950185,8.48959349142827,1.0,Business,Yes
152,2,2.1670335217161103,7.574971085481521,3.0,Marketing,Yes
153,1,3.1282577219892898,7.830626374584879,2.0,IT,No
154,1,2.988697417539197,8.993365222900639,5.0,IT,No
155,1,1.66753820122807,9.50523558845442,1.0,Business,No
156,1,3.3950932927405275,8.035105213445839,4.0,Business,No
157,1,3.437223667818435,9.545376744406827,5.0,IT,No
158,2,2.383287183512761,8.306192051583078,2.0,Business,Yes
159,1,2.1684411895962157,9.405937870499438,1.0,Marketing,Yes
160,1,3.0675340160302516,8.578908994170309,4.0,IT,No
161,1,3.126672613486577,7.791200765384379,2.0,IT,No
162,1,3.135516593305828,8.514139737397292,4.0,IT,No
163,1,1.6312572393250715,9.648022595158162,1.0,Business,No
164,2,3.19228805704713,9.199278180630204,3.0,Marketing,No
165,1,3.49573678136014,9.436770173973251,5.0,IT,No
166,1,3.2425363331084043,9.531858601667022,5.0,IT,No
167,1,2.2435557909595722,9.616712265835536,1.0,Marketing,Yes
168,2,3.1989707502478573,8.917759207854505,3.0,Marketing,No
169,2,2.167297301107801,7.710447699877305,2.0,Marketing,Yes
170,2,2.688190247449829,8.625465859254472,1.0,IT,Yes
171,2,2.0674858418275637,8.282188279721268,2.0,Business,Yes
172,1,3.7084349507922445,9.443312643175444,4.0,IT,No
173,1,3.7805635846723273,8.10722836487389,2.0,Business,No
174,1,3.753202554855337,9.644043649867776,5.0,IT,No
175,1,2.8077132176345763,8.797399945321187,4.0,IT,No
176,1,3.557419920072618,9.555834039674089,5.0,IT,No
177,1,3.5738211550904992,9.518816486482297,5.0,IT,No
178,2,2.4708821061248383,8.181247833135481,1.0,IT,Yes
179,2,2.7270738758249324,8.224362220719959,1.0,IT,Yes
180,1,3.4606562286176263,7.501684971090393,2.0,IT,No
181,2,2.214671735298857,7.255829652681954,3.0,Marketing,Yes
182,1,3.3333254280883855,8.202241499692377,3.0,Business,No
183,1,3.3706077317651677,9.425473682661758,5.0,IT,No
184,1,3.6185890984136218,10.0,5.0,IT,No
185,2,2.4949278656074068,8.890703391552028,3.0,Business,Yes
186,2,2.3618761980723577,8.538910059908384,1.0,IT,Yes
187,1,3.131511028133991,8.821119307635392,3.0,Business,No
188,1,2.388520190797268,9.747725874046319,1.0,Marketing,Yes
189,1,3.211552071496925,7.298107994659306,2.0,IT,No
190,2,2.055254816525444,8.066864043058688,3.0,Marketing,Yes
191,2,2.9383064114010278,8.977863566298707,2.0,Marketing,No
192,2,2.2476035316844634,7.727655513216827,3.0,Marketing,Yes
193,1,2.9155352126663523,8.146199370120621,4.0,IT,No
194,1,3.5401454021244687,9.648850283927606,5.0,IT,No
195,1,3.098653076023501,7.280218069256375,2.0,IT,No
196,1,2.3953856710305033,8.494631259406335,4.0,IT,No
197,1,3.6685312672537274,8.145727397928281,3.0,Business,No
198,2,3.321480778217083,8.485289489611953,3.0,Marketing,No
199,2,2.6486116697654034,8.697200251913053,1.0,IT,Yes
200,1,3.337397181243293,7.789672892354806,2.0,IT,No
