Age,Income,Color,Car_Type,Mileage,Purchased
62,38267,Green,SUV,39249,0
35,137369,Red,SUV,63601,1
40,73085,Red,Truck,38309,1
36,72535,Red,Truck,75284,1
25,89639,Red,SUV,55569,1
48,82847,Black,SUV,43867,1
44,75712,Green,Sedan,57485,1
45,47564,Red,Truck,7955,1
28,82583,Red,Sedan,18852,1
51,121725,Black,SUV,17204,1
23,106835,Green,SUV,50007,1
43,113710,Black,Sedan,89010,1
59,55313,Black,SUV,101249,1
27,42038,Red,Sedan,62155,1
31,66009,Red,SUV,58789,1
38,71046,Green,Sedan,5000,1
32,99863,Green,SUV,33184,1
21,22534,Red,Sedan,27170,1
37,111944,Green,SUV,31266,1
26,65115,Blue,Sedan,42374,1
42,57654,Green,SUV,34916,1
27,41414,Black,Sedan,5000,1
52,23577,Black,Sedan,64851,0
29,92342,Black,Sedan,20178,1
34,71534,Blue,Sedan,52370,1
45,33703,Red,Sedan,97391,1
24,33561,Red,Truck,23941,1
39,60182,Black,SUV,5000,1
50,115815,Blue,Truck,39482,1
21,62296,Red,SUV,73514,1
39,27787,Blue,SUV,94551,0
39,62680,Green,SUV,16330,1
45,61931,Red,SUV,58687,1
24,20000,Blue,Sedan,35082,0
23,67993,Black,Sedan,43900,1
42,63091,Green,Sedan,111383,1
40,88819,Red,Sedan,9621,1
39,120808,Blue,SUV,52725,1
40,100762,Green,SUV,57975,1
30,62038,Green,SUV,73141,0
39,38794,Blue,SUV,48904,1
40,140910,Black,SUV,54058,1
30,71143,Blue,SUV,36890,1
56,69886,Green,Sedan,53103,1
42,68830,Black,Sedan,38079,1
25,74996,Red,Truck,61751,1
43,65494,Green,Truck,37430,1
27,53580,Blue,Sedan,55752,1
45,54324,Blue,SUV,45781,1
49,68591,Red,Sedan,74129,1
28,54420,Blue,Sedan,45238,1
47,49718,Black,SUV,5000,1
41,72453,Blue,SUV,77463,1
45,62424,Red,Truck,24276,1
56,111235,Blue,SUV,30458,1
34,20000,Green,Sedan,31884,1
29,99789,Red,Sedan,80224,1
28,104078,Green,SUV,5000,1
29,20000,Black,SUV,123490,0
36,59990,Green,SUV,72412,0
40,59192,Blue,SUV,51977,1
40,30441,Black,SUV,45153,1
45,47915,Blue,Truck,53506,1
37,38681,Green,SUV,59286,1
52,118125,Black,Sedan,62331,1
34,95464,Black,SUV,60132,1
64,104785,Blue,Truck,48698,1
43,89526,Green,SUV,41657,1
28,38168,Blue,SUV,42788,1
26,54944,Blue,Truck,41717,1
42,83080,Black,Truck,74319,1
35,35586,Green,SUV,61063,1
44,89285,Red,Truck,5000,1
42,62831,Black,SUV,62593,1
36,59098,Red,SUV,51278,1
28,89229,Black,SUV,46040,1
21,81828,Black,SUV,36966,1
32,59483,Black,Sedan,74082,1
45,101671,Blue,SUV,69749,1
39,39500,Black,SUV,27536,1
24,86592,Black,Sedan,56487,1
39,85958,Red,Sedan,22658,1
41,60910,Black,SUV,12648,1
28,78550,Red,Sedan,31122,1
38,34781,Red,SUV,67660,1
37,95141,Blue,Sedan,69886,1
25,64368,Blue,Sedan,59089,1
40,54994,Blue,Truck,64291,1
42,98609,Black,SUV,59165,1
48,49954,Black,SUV,30760,1
47,30415,Green,SUV,57098,1
23,26303,Black,SUV,66139,0
27,86316,Black,SUV,65007,1
42,33968,Red,Truck,75672,0
42,118195,Black,SUV,63879,1
42,20000,Black,SUV,55123,0
65,116576,Black,Sedan,72758,1
43,75355,Black,SUV,45849,1
48,66816,Black,Sedan,24861,1
46,54378,Blue,SUV,42498,1
43,80575,Blue,SUV,28222,1
34,68455,Green,SUV,29933,1
44,100116,Blue,SUV,42953,1
29,72669,Green,Truck,27056,1
34,73670,Red,SUV,38943,1
32,59409,Red,Sedan,5000,1
38,67919,Red,SUV,51733,1
60,78041,Blue,SUV,46529,1
20,22043,Green,Truck,26451,1
44,32088,Red,SUV,62675,0
20,90125,Green,Sedan,69504,1
32,74241,Red,Truck,7055,1
48,64394,Green,Sedan,27785,1
37,70011,Black,Truck,27627,1
26,79145,Red,SUV,23437,1
30,54521,Black,SUV,66852,1
44,47902,Red,SUV,41744,1
29,74934,Red,Sedan,40009,1
39,42350,Black,Truck,5000,1
37,80828,Green,SUV,62091,1
30,22253,Black,Sedan,16092,1
59,98058,Black,SUV,47970,1
43,82614,Blue,Sedan,53305,1
20,76604,Blue,SUV,79886,1
39,96769,Red,Truck,14385,1
30,115716,Black,Sedan,5000,1
45,97648,Red,SUV,51011,1
29,20000,Red,SUV,90678,1
36,33991,Blue,SUV,76899,1
42,52161,Red,SUV,51644,0
46,70224,Black,SUV,34436,1
25,83864,Blue,Truck,66304,1
33,49360,Red,Sedan,22612,1
32,74682,Black,Sedan,58188,1
30,48538,Red,SUV,58902,1
55,52530,Green,Truck,72514,1
41,30465,Black,Sedan,114213,1
24,43880,Green,SUV,56128,1
46,31990,Black,Sedan,34011,1
58,42419,Red,Sedan,45872,1
47,98738,Blue,SUV,5000,1
21,43154,Green,SUV,29453,1
32,142548,Blue,SUV,36457,1
50,83189,Green,SUV,33640,1
30,74629,Green,Truck,50238,1
41,45680,Red,Truck,26320,1
45,88933,Red,Sedan,74006,1
27,53526,Blue,SUV,46505,1
36,72885,Black,SUV,46271,1
20,140542,Green,Sedan,38454,1
26,66834,Green,Sedan,50307,1
34,101392,Black,SUV,66745,1
24,49986,Red,Sedan,25223,1
53,68529,Blue,Truck,30351,1
22,118639,Red,SUV,39047,1
32,52101,Green,SUV,13476,0
38,119795,Black,Sedan,26398,1
51,89140,Blue,SUV,34815,1
22,53891,Red,SUV,67954,1
49,87049,Blue,SUV,52942,1
37,96488,Black,SUV,51250,1
27,86755,Black,Sedan,67378,1
41,25926,Red,Sedan,43129,1
39,49322,Blue,SUV,56080,1
31,62631,Green,Truck,43967,1
38,67434,Red,Truck,53011,1
33,86723,Red,Truck,32200,1
38,74431,Red,SUV,5000,1
44,32444,Blue,SUV,43205,0
53,80050,Blue,Truck,81409,1
24,86443,Black,Sedan,69226,1
58,85034,Red,SUV,70187,1
20,99491,Black,SUV,76830,1
35,92641,Black,SUV,48675,1
43,82242,Black,Truck,51341,1
40,67552,Green,Sedan,31344,1
30,23408,Red,SUV,38744,0
35,81421,Blue,SUV,61609,1
32,75263,Black,Sedan,76039,1
31,77036,Black,Truck,43078,1
45,34070,Blue,SUV,35453,1
40,39500,Blue,Sedan,46512,1
30,98724,Green,Truck,61251,1
46,68402,Red,SUV,11072,1
40,88411,Red,Sedan,5000,1
45,70285,Blue,SUV,32991,1
43,70325,Black,Sedan,16547,1
28,95537,Red,Sedan,34031,1
31,55179,Red,Sedan,42873,1
44,72167,Red,Sedan,35378,1
43,56671,Green,SUV,82138,1
37,57442,Red,Truck,54517,1
38,60920,Black,Sedan,53872,1
50,75664,Red,SUV,61766,1
31,56214,Black,Sedan,18556,1
42,104347,Red,Sedan,71996,1
35,44674,Black,SUV,44640,1
35,64314,Red,Truck,62951,1
48,57297,Green,Truck,20200,1
45,109653,Red,SUV,8375,1
45,74954,Black,Truck,66568,0
50,98133,Green,SUV,55735,1
37,28275,Blue,SUV,24366,1
44,76910,Black,SUV,25161,1
34,94187,Black,Truck,74114,1
40,71783,Black,Sedan,17315,1
35,99066,Blue,SUV,86805,1
38,55145,Green,SUV,24401,1
43,108609,Blue,Sedan,62164,1
29,133294,Black,SUV,38436,1
58,59431,Blue,Truck,61300,1
27,57137,Black,Truck,33149,1
25,109831,Red,Sedan,42505,1
49,113332,Black,Truck,47504,1
45,54990,Green,SUV,21909,1
43,57839,Red,Truck,64677,1
43,61680,Blue,Sedan,33907,1
37,32191,Red,Sedan,40890,1
28,44007,Black,SUV,22101,1
38,41635,Red,Truck,5000,1
30,48193,Black,SUV,41812,1
47,68537,Blue,SUV,105697,1
35,75999,Black,SUV,65751,1
28,112526,Blue,Sedan,46027,1
34,41795,Blue,Sedan,40049,1
41,96814,Green,Sedan,47051,1
31,63561,Red,Truck,59924,1
28,68127,Black,SUV,17526,1
39,88226,Red,Sedan,73841,1
39,38344,Green,SUV,64053,1
32,80111,Green,Truck,64121,1
32,74119,Black,Truck,57258,1
39,83165,Green,Sedan,46981,1
22,77524,Black,Sedan,63009,1
23,137634,Blue,SUV,61021,1
30,51802,Red,SUV,37812,1
35,54764,Blue,Truck,32425,1
40,52207,Red,SUV,48999,1
52,54085,Green,SUV,84508,1
45,51812,Blue,SUV,16096,1
35,102495,Blue,Truck,10491,1
37,108918,Red,SUV,50542,1
27,53661,Black,SUV,47748,1
37,46402,Red,Sedan,50753,1
34,82581,Black,Truck,52485,1
40,54175,Red,SUV,41023,1
28,87063,Green,SUV,83056,1
42,75131,Black,SUV,7218,1
52,27438,Black,SUV,26171,1
36,112443,Black,SUV,43966,1
41,119335,Black,Sedan,6181,1
44,52495,Blue,Sedan,42185,0
33,58741,Black,Sedan,87267,1
39,77432,Green,SUV,47012,1
37,78781,Black,Truck,52160,1
38,87774,Green,SUV,15579,1
29,125282,Green,Truck,31376,1
37,64589,Red,Sedan,37293,0
42,47347,Green,SUV,38704,1
51,31224,Red,Sedan,77947,0
47,49216,Green,SUV,60183,1
59,68580,Black,Sedan,19228,1
29,119298,Green,SUV,52548,1
46,55136,Green,SUV,58724,1
39,75710,Green,Truck,74475,0
59,69044,Blue,SUV,85281,1
29,102477,Black,Truck,21592,1
28,139622,Red,SUV,26604,1
31,54768,Black,Sedan,15643,1
20,55918,Red,Sedan,40757,1
31,98475,Blue,Sedan,57942,1
29,88422,Black,SUV,70726,1
38,120745,Green,SUV,44636,1
40,85703,Blue,SUV,38651,1
56,59529,Green,SUV,50223,1
46,85890,Red,Sedan,26008,1
31,100266,Green,Truck,97770,1
28,92268,Green,Truck,7053,1
42,83576,Black,Sedan,51032,1
23,99100,Blue,Sedan,96152,1
55,101947,Blue,Sedan,46666,1
49,107854,Red,SUV,41837,1
32,87501,Black,Truck,37729,1
20,64862,Black,Sedan,42073,1
51,73571,Red,Sedan,80185,1
36,102980,Black,SUV,5000,1
49,46830,Red,SUV,84125,1
21,79730,Red,SUV,11560,1
31,58584,Red,Truck,39957,1
37,70297,Green,Sedan,35967,1
37,104976,Black,SUV,60941,1
32,74802,Green,Truck,7287,1
43,70788,Black,SUV,57840,1
26,31764,Black,SUV,96170,1
35,90208,Black,SUV,13052,1
38,87412,Black,Sedan,51154,1
42,129530,Red,Truck,30257,1
44,60959,Blue,SUV,56949,1
25,75581,Red,Truck,46969,1
21,76420,Blue,SUV,30759,1
50,113274,Blue,Truck,58470,1
40,66855,Red,Sedan,90772,1
29,77242,Red,Truck,41815,1
53,86369,Blue,SUV,64160,1
38,74678,Black,Truck,14767,1
49,57111,Red,Sedan,23032,1
37,74885,Green,SUV,58091,1
58,99293,Red,Truck,82915,1
55,41014,Blue,SUV,55225,1
34,73189,Green,Truck,38818,1
47,50071,Red,SUV,46482,1
43,102662,Red,Sedan,15818,1
51,27231,Red,Sedan,61332,1
27,53989,Black,SUV,68149,1
44,79967,Red,SUV,35407,1
48,112943,Blue,SUV,34966,1
20,67675,Red,SUV,53023,1
25,54093,Black,SUV,35784,1
20,121701,Green,Sedan,44877,1
34,29317,Green,SUV,98020,0
44,20000,Blue,SUV,40438,1
52,81710,Black,Sedan,37707,1
38,55568,Blue,SUV,30611,1
53,41160,Black,Truck,64760,0
23,89156,Black,Truck,42053,1
20,76265,Red,Sedan,30566,1
36,53846,Green,Sedan,78920,1
41,33971,Black,Truck,81332,0
36,93710,Red,SUV,31767,1
20,87543,Black,SUV,5000,1
36,66747,Black,SUV,71221,1
24,120743,Green,Sedan,29701,1
44,39805,Blue,SUV,65899,1
41,27166,Blue,Sedan,5000,1
27,50299,Red,Truck,68401,1
32,68234,Black,Truck,16781,1
26,76252,Black,Sedan,64430,1
36,62805,Red,SUV,46850,1
46,79269,Red,Truck,23093,1
27,34769,Blue,Sedan,36512,1
42,109564,Red,SUV,63340,1
31,67220,Black,SUV,49098,1
29,100504,Red,Truck,60839,1
36,79010,Red,Sedan,94995,1
26,82174,Red,Truck,8118,1
31,85310,Green,Truck,86181,1
25,81923,Green,Sedan,49060,1
57,87335,Green,Sedan,24446,1
37,106383,Black,SUV,13858,1
30,74953,Red,SUV,41859,1
39,89174,Black,SUV,69114,1
36,67009,Black,Sedan,43370,1
35,109463,Green,Sedan,83578,1
43,50730,Red,Truck,10892,1
44,119475,Black,SUV,46203,1
31,68385,Red,Sedan,15770,1
31,29796,Black,Sedan,55422,1
34,73054,Blue,Sedan,68261,1
20,50600,Black,Sedan,36175,0
21,92827,Black,SUV,5000,1
51,51389,Black,Sedan,51381,0
53,57118,Black,SUV,57216,1
34,20000,Blue,SUV,56420,1
43,56948,Green,SUV,76822,1
40,20000,Green,Sedan,20219,1
65,25546,Blue,Truck,63190,1
48,90601,Black,Sedan,75760,1
36,91305,Blue,Sedan,5000,1
27,81306,Black,Sedan,54343,1
21,42666,Red,Sedan,34129,0
39,68176,Green,SUV,44499,0
29,69400,Red,SUV,55030,1
22,37355,Green,SUV,34544,1
30,111219,Black,SUV,29920,1
26,93846,Blue,SUV,47337,1
54,63368,Blue,SUV,19822,1
46,70246,Green,SUV,19857,1
37,75282,Blue,Truck,63169,1
52,20000,Blue,SUV,18312,1
38,62640,Red,SUV,62849,1
28,50575,Black,SUV,57850,1
52,41705,Red,Sedan,5000,1
42,61699,Blue,SUV,29874,1
26,119385,Black,SUV,75799,1
35,87283,Blue,Sedan,22425,1
28,53649,Red,SUV,35104,1
23,85389,Red,SUV,57837,1
